RecordType;Schema;Name;Type;Id;LoC;References;Dependencies;Abstraction;Instability
1;TKMTS;PAC_DYNAMIC_QUERY_DASHBOARD;PACKAGE BODY;30375987;3642;0;2;0.0002745744096650192;1.0
1;TKMTS;PAC_DYNAMIC_QUERY_DASHBOARD;PACKAGE;30375981;3642;1;0;0.0002745744096650192;0.0
1;TKMTS;CO_ITINERARY_GD_POLOCGROUP_TRC;TRIGGER;30326435;76;0;0;0.013157894736842105;0
1;TKMTS;TR_BIU_CO_ITI_POLOCGROUP_CHECK;TRIGGER;30326437;84;0;0;0.011904761904761904;0
1;TKMTS;PAC_DYNAMIC_QUERY_BOOKING_RI;PACKAGE;30404834;8402;1;0;0.00011901928112354201;0.0
1;TKMTS;TR_BIU_OD_GROUPSTOCK_CHECK_NSC;TRIGGER;29162872;28;0;0;0.03571428571428571;0
1;TKMTS;TR_BIU_OD_COM_CONDITION_IT_PRO;TRIGGER;30350620;73;0;0;0.0136986301369863;0
1;TKMTS;TR_AIU_CO_SEASONSTATUSHIS;TRIGGER;2999205;20;0;0;0.05;0
1;TKMTS;CO_ISSUE_TRC;TRIGGER;2999229;82;0;0;0.012195121951219513;0
1;TKMTS;OD_STOCK_ZONE_SETUP_TRC;TRIGGER;29252392;76;0;0;0.013157894736842105;0
1;TKMTS;F_MINUTES_TO_HOURS;FUNCTION;29252394;28;3;0;0.03571428571428571;0.0
1;TKMTS;PAC_XML_CLIENTVISIBILITY;PACKAGE BODY;29241464;2728;0;14;0.00036656891495601173;1.0
1;TKMTS;PAC_XML_CLIENTVISIBILITY;PACKAGE;29241463;2728;6;0;0.00036656891495601173;0.0
1;TKMTS;CO_AVAILABILITY_ACTION_TRC;TRIGGER;29308294;82;0;0;0.012195121951219513;0
1;TKMTS;CO_AVAILABILITY_TYPE_TRC;TRIGGER;29308298;82;0;0;0.012195121951219513;0
1;TKMTS;CO_AVAILABILITY_TRC;TRIGGER;29308316;82;0;0;0.012195121951219513;0
1;TKMTS;TR_CO_RATEPLANSOURCECOUNTR_TRC;TRIGGER;30254000;76;0;0;0.013157894736842105;0
1;TKMTS;CO_PRICELINE_RATEPLAN_TRC;TRIGGER;30254007;76;0;0;0.013157894736842105;0
1;TKMTS;OD_CLIENT_RATEPLANEXCLUDED_TRC;TRIGGER;30254017;76;0;0;0.013157894736842105;0
1;TKMTS;TR_AIU_SD_RESORT_POINTLOCGROUP;TRIGGER;30254019;54;0;1;0.018518518518518517;1.0
1;TKMTS;TR_AIU_GD_POINTLOCATIONGROUP;TRIGGER;30254020;40;0;1;0.025;1.0
1;TKMTS;TR_BU_OD_CLIENT_SYNC_PORTFOLIO;TRIGGER;30254026;73;0;0;0.0136986301369863;0
1;TKMTS;PAC_FLOW_CLIENT;PACKAGE;30254027;170;1;0;0.0058823529411764705;0.0
